yyyymm,flow,vol,date,flow_resid,bin_vol,recession
197406,0.008790797,0.15026966,6/1/74,0.010153368,8,1
197409,0.009794669,0.245326192,9/1/74,0.010915458,10,1
197412,0.038215941,0.248294033,12/1/74,0.031721165,10,1
197503,0.008253365,0.173546722,3/1/75,0.008133396,9,1
197506,0.006889768,0.132419267,6/1/75,0.008332616,7,0
197509,0.006438548,0.147305025,9/1/75,0.007639615,8,0
197512,0.003864766,0.125239839,12/1/75,-0.002549732,6,0
197603,0.004014399,0.123200161,3/1/76,0.003974708,6,0
197606,0.003610701,0.102928223,6/1/76,0.005133828,4,0
197609,0.002333278,0.083816851,9/1/76,0.003614623,2,0
197612,0.010487359,0.101738589,12/1/76,0.004153139,4,0
197703,0.009773452,0.072826941,3/1/77,0.009814039,2,0
197706,0.009025061,0.085386242,6/1/77,0.010628466,3,0
197709,0.009970649,0.071890166,9/1/77,0.011332272,1,0
197712,0.024637971,0.10133244,12/1/77,0.01838403,4,0
197803,0.01116135,0.087207157,3/1/78,0.011282215,3,0
197806,0.011995826,0.107863962,6/1/78,0.013679509,5,0
197809,0.011251205,0.099416337,9/1/78,0.012693106,4,0
197812,0.010849736,0.17151853,12/1/78,0.004676073,9,0
197903,0.010867861,0.097658895,3/1/79,0.011069004,4,0
197906,0.010638794,0.089737417,6/1/79,0.012402755,3,0
197909,0.007031733,0.094152303,9/1/79,0.008553913,3,0
197912,0.014058352,0.141991544,12/1/79,0.007964967,7,0
198003,0.012566315,0.186730245,3/1/80,0.012847736,9,1
198006,0.009297687,0.140423943,6/1/80,0.011141926,7,1
198009,0.004373279,0.144165626,9/1/80,0.005975736,8,1
198012,0.010585886,0.16879801,12/1/80,0.004572779,9,0
198103,0.008643032,0.14089748,3/1/81,0.009004731,7,0
198106,0.005758245,0.101631376,6/1/81,0.007682762,4,0
198109,0.019499239,0.146498562,9/1/81,0.021181974,8,1
198112,0.00244755,0.122915665,12/1/81,-0.003485279,6,1
198203,0.028774011,0.144437332,3/1/82,0.029215988,8,1
198206,0.011188734,0.110425809,6/1/82,0.01319353,5,1
198209,0.01818551,0.172186901,9/1/82,0.019948524,9,1
198212,0.015866665,0.209651139,12/1/82,0.010014114,9,1
198303,0.005548923,0.145526439,3/1/83,0.006071179,8,0
198306,0.004598428,0.114731801,6/1/83,0.006683501,5,0
198309,0.008324883,0.125136923,9/1/83,0.010168175,6,0
198312,0.01538414,0.089076573,12/1/83,0.009611867,3,0
198403,0.011958528,0.12069674,3/1/84,0.012561061,6,0
198406,0.016875591,0.107673134,6/1/84,0.019040942,5,0
198409,0.014516258,0.126496807,9/1/84,0.016439827,7,0
198412,0.005857859,0.102019594,12/1/84,0.000165864,4,0
198503,0.010196548,0.0985388,3/1/85,0.01087936,4,0
198506,0.008942918,0.078453227,6/1/85,0.011188548,2,0
198509,0.007598834,0.085284906,9/1/85,0.009602682,3,0
198512,0.006978696,0.091222484,12/1/85,0.001366979,3,0
